species_short	neworder	species	fullname
C.comes	68	CoCo	Coprococcus_comes
C.eutactus	69	CoEu	Coprococcus_eutactus
C.freundii	54	CiFr	Citrobacter_freundii
C.innocuum	60	ClIn	Clostridium_innocuum
C.paraputrificum	61	ClPa	Clostridium_paraputrificum
C.perfringens	62	ClPe	Clostridium_perfringens
C.somerae	52	CeSo	Cetobacterium_somerae
C.ventriculi	64	ClVe	Clostridium_ventriculi
Catenibacterium.sp.	51	CaSp	Catenibacterium_sp.
Citrobacter.sp.	55	CiSp	Citrobacter_sp.
Clostridium.sp.	63	ClSp	Clostridium_sp
Collinsella.sp.	66	CoSp	Collinsella_sp.
D.desulfuricans	71	DeDe	Desulfovibrio_desulfuricans
D.formicigenerans	75	DoFo	Dorea_formicigenerans
D.invisus	73	DiIn	Dialister_invisus
D.longicatena	76	DoLo	Dorea_longicatena
D.piger	72	DePi	Desulfovibrio_piger
Dialister.sp.	74	DiSp	Dialister_sp.
Dorea.sp.	77	DoSp	Dorea_sp.
E.avium	83	EnAv	Enterococcus_avium
E.cloacae	80	EnCl	Enterobacter_cloacae
E.coli	93	EsCo	Escherichia_coli
E.durans	84	EnDu	Enterococcus_durans
E.eligens	94	EuEl	Eubacterium_eligens
E.faecalis	85	EnFa	Enterococcus_faecalis
E.gallinarum	86	EnGa	Enterococcus_gallinarum
E.hallii	95	EuHa	Eubacterium_hallii
E.hirae	87	EnHi	Enterococcus_hirae
E.hormaechei	81	EnHo	Enterobacter_hormaechei
E.italicus	88	EnIt	Enterococcus_italicus
E.mundtii	89	EnMu	Enterococcus_mundtii
E.raffinosus	90	EnRa	Enterococcus_raffinosus
E.ramosum	92	ErRa	Erysipelatoclostridium_ramosum
E.ramulus	96	EuRa	Eubacterium_ramulus
E.rectale	97	EuRe	Eubacterium_rectale
E.saccharolyticus	91	EnSa	Enterococcus_saccharolyticus
E.timonensis	79	EmTi	Emergencia_timonensis
E.ventriosum	99	EuVe	Eubacterium_ventriosum
Eggerthella.sp.	78	EgSp	Eggerthella_sp.
Enterobacter.sp.	82	EnSp	Enterobacter_sp.
Eubacterium.sp.	98	EuSp	Eubacterium_sp.
F.cylindroides	102	FaCy	Faecalitalea_cylindroides
F.gonidiaformans	107	FuGo	Fusobacterium_gonidiaformans
F.magna	103	FiMa	Finegoldia_magna
F.mortiferum	108	FuMo	Fusobacterium_mortiferum
F.plautii	105	FlPl	Flavonifractor_plautii
F.prausnitzii	100	FaPr	Faecalibacterium_prausnitzii_1
F.saccharivorans	106	FuSa	Fusicatenibacter_saccharivorans
F.varium	110	FuVa	Fusobacterium_varium
Faecalibacterium.sp.	101	FaSp	Faecalibacterium_sp.
Finegoldia.sp.	104	FiSp	Finegoldia_sp.
Fusobacterium.sp.	109	FuSp	Fusobacterium_sp.
G.formicilis	111	GeFo	Gemmiger_formicilis
G.pamelaeae	113	GoPa	Gordonibacter_pamelaeae
Gemmiger.sp.	112	GeSp	Gemmiger_sp.
H.massiliensis	116	HoMa	Holdemania_massiliensis
H.parainfluenzae	114	HaPa	Haemophilus_parainfluenzae
Holdemanella.sp.	115	HoSp	Holdemanella_sp.
K.oxytoca	117	KlOx	Klebsiella_oxytoca
K.pneumoniae	118	KlPn	Klebsiella_pneumoniae
K.variicola	120	KlVa	Klebsiella_variicola
Klebsiella.sp.	119	KlSp	Klebsiella_sp.
L.brevis	121	LaBr	Lactobacillus_brevis
L.fermentum	122	LaFe	Lactobacillus_fermentum
L.garvieae	129	LaGa	Lactococcus_garvieae
Lactococcus.lactis	130	LaLa	Lactococcus_lactis
Leuconostoc.lactis	132	LeLa	Leuconostoc_lactis
L.massiliensis	134	LiMa	Libanicoccus_massiliensis
L.mucosae	123	LaMu	Lactobacillus_mucosae
L.paracasei	124	LaPa	Lactobacillus_paracasei
L.plantarum	125	LaPl	Lactobacillus_plantarum
L.reuteri	126	LaRe	Lactobacillus_reuteri
L.rhamnosus	127	LaRh	Lactobacillus_rhamnosus
L.ruminis	128	LaRu	Lactobacillus_ruminis
Lactococcus.sp.	131	LaSp	Lactococcus_sp.
Leuconostoc.sp.	133	LeSp	Leuconostoc_sp
M.jalaludinii	136	MiJa	Mitsuokella_jalaludinii
M.morganii	138	MoMo	Morganella_morganii
M.timonense	137	MoTi	Mobilibacterium_timonense
Megasphaera.sp.	135	MeSp	Megasphaera_sp.
O.splanchnicus	139	OdSp	Odoribacter_splanchnicus
Oscillibacter.sp.	140	OsSp	Oscillibacter_sp.
P.acidilactici	151	PeAc	Pediococcus_acidilactici
P.bifermentans	147	PaBi	Paraclostridium_bifermentans
P.clara	148	PaCl	Paraprevotella_clara
P.copri	155	PrCo	Prevotella_copri
P.disiens	156	PrDi	Prevotella_disiens
P.distasonis	142	PaDi	Parabacteroides_distasonis
P.excrementihominis	149	PaEx	Parasutterella_excrementihominis
P.faecium	153	PhFa	Phascolarctobacterium_faecium
P.goldsteinii	143	PaGo	Parabacteroides_goldsteinii
P.intermedia	157	PrIn	Prevotella_intermedia
P.johnsonii	144	PaJo	Parabacteroides_johnsonii
P.merdae	145	PaMe	Parabacteroides_merdae
P.micra	150	PaMi	Parvimonas_micra
P.mirabilis	160	PrMi	Proteus_mirabilis
P.namnetense	159	PrNa	Propionibacterium_namnetense
P.pentosaceus	152	PePe	Pediococcus_pentosaceus
P.sordellii	141	PaSo	Paeniclostridium_sordellii
