	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y	DR
60	4.1106309999969076e-32	0.0	94.72875559063404	221	26	SP30	DR13
61	1.7557509315683158e-36	0.0	94.17518416206262	221	27	SP25	DR13
62	2.011516296677949e-24	0.0	88.3742582361367	163	28	SP40	DR13
63	8.63406800765104e-32	0.0	90.53351749539594	171	29	SP32	DR13
64	0.01341150792592158	0.0	9.431136543014986	22	31	SP27	DR13
65	0.0007592317169018148	0.0	29.488967516189675	22	29	SP55	DR3
66	0.010160819295490441	0.0	18.530190920444998	14	31	SP18	DR3
67	1.302892942678973e-12	0.0	9.521093684413971	2	37	SP87	DR3
68	4.852231359849264e-07	0.0	2.7988901966020445	2	38	SP52	DR3
69	4.980159680727552e-06	0.0	2.5999327827486383	2	42	SP15	DR3
70	3.586197421997065e-05	0.0	10.790177193609026	2	43	SP86	DR3
71	0.00035922510400380277	0.0	9.064022907622473	2	46	SP79	DR3
72	0.000234169503346503	0.0	8.728793097585026	2	47	SP78	DR3
73	0.006978198538169186	0.0	5.470645598381452	2	48	SP81	DR3
74	0.006422240719490152	0.0	2.799937528429581	2	51	SP62	DR3
75	0.0010473946272980315	0.0	6.007163718721316	2	52	SP8	DR3
76	4.091619926761775e-06	0.0	10.0645019270343	2	57	SP77	DR3
77	1.504220476223678e-05	0.0	7.573117000725759	2	58	SP10	DR3
78	1.3060217751780948e-08	0.0	9.020698285420435	2	60	SP11	DR3
79	0.00014430931943020862	0.0	2.8390211642583414	2	66	SP64	DR3
80	0.0002530119449229937	0.0	44.9765329295988	62	65	SP61	DR231
81	0.0015326716867997833	0.0	41.3497814491749	105	11	SP35	DR2
82	0.00010470165751181497	0.0	25.13605595897883	14	13	SP33	DR2
83	0.0001166789850469828	0.0	30.58867033806378	30	14	SP30	DR2
84	2.3298262560391014e-11	0.0	14.637753957765966	2	34	SP31	DR2
85	2.3298262560391014e-11	0.0	14.637753957765966	2	35	SP32	DR2
