	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
am0094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	2	5	0	4
am0095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0096	0	0	0	0	0	0	0	0	0	2	0	2	2	1	3	2	0	1	0	2	0	1	0	2	2	6	6
am0097	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	1	0	0	0	4	11
am0098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	3	2	2	2	2
am0099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	0	0	0
am0100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	1	1	0	2	0	0
am0101	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	2	0	0	2	2
am0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	3	7
am0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	3
am0104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0105	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
am0106	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	1	1	2	0	0	2	4
am0107	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
am0108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2
am0109	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	2	5	0	1	5
am0110	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	4	0	1	0	0	0	2	2	2	2	2	1
am0111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	0	0	2	4	1	2
am0112	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	2	2	3
am0113	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	2	4	0	0	2	3	4	3	10	1	5
am0114	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	1	5	2	4	2	0	6	7
am0115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	2	1	3
am0116	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	3	1	0	1	3	2	1	6	2	2
am0117	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	3	0	0	0	3	2
am0118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
am0119	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	1	3
am0120	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	1	0	6	10
am0121	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	2	0	6	2	6	0	5	2	0	1	1
am0122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
am0123	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	1	1	1	1	0	0	2
am0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	2	0	1	5	5
am0125	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	1	2	1	6	0	2	7
am0126	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	2	3	1	3	0	0	1	1
am0127	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0
am0128	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	3	3	2	2	1	0	10	5
am0129	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	2	0	0	1	0	1	0	0	0	0	0	3
am0130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	3	1	2	2
am0131	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	0	0	1	0	0	1	0	1	0	1	2
am0132	0	0	0	0	0	0	0	0	0	1	3	1	1	1	6	3	0	0	1	0	1	0	0	0	0	0	1
am0134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
am0135	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	0	3	0	0
am0136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0137	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	0	1	0	0	2	0	4	1	3	0	6	8
am0138	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	3	2	3	2	3	1	5	2	4	2	2
am0139	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2
am0140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2
am0142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	8	1	2
am0143	0	0	0	0	0	0	0	0	0	2	0	1	1	1	2	2	0	0	0	0	4	4	3	4	0	2	2
am0146	0	0	0	0	0	0	0	0	0	2	1	0	0	2	3	0	1	2	0	2	1	3	1	2	4	2	0
am0147	0	0	0	0	0	0	0	0	0	0	3	0	1	0	5	0	0	2	0	0	0	1	0	2	4	1	3
am0148	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	1	0	2	0	2	0	5	4
am0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	1	0	3	2	4	3
am0150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	4
am0151	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	3	6
am0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
am0153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	1	2	6	2	1	7
am0156	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	2	3	1	0	0	1	3	3	5	5	5	6
am0157	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	2	0	1	0	0	0	0
am0158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2	4	1	1	2	1
am0159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	5	0	1	0
am0160	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	3	1	1	4	3	4	1	7	7
am0161	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0	4	0	4
