	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
am0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	9	4	2	3	5	4	4	6	6	1	4	13	9	10	3	4	4	3	8	6	7	7	3	8	4	4	11	6	7	13	9	8	6	6	12	7	11	11	13	5	4	14	6	11	10	141
am0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	3	4	10	5	6	8	8	14	12	10	7	9	10	6	15	13	13	8	10	8	15	15	8	10	10	10	10	12	8	13	13	13	15	16	16	10	17	11	9	18	24	12	22	15	19	310
am0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	24	16	16	16	14	17	14	23	23	27	18	18	30	21	36	21	23	23	23	27	20	21	20	20	26	25	26	26	34	29	33	25	39	43	37	28	41	35	27	38	46	35	39	34	40	47	44	727
am0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	14	14	17	11	15	13	24	24	15	9	20	25	14	31	22	16	23	23	17	14	20	28	28	17	17	28	28	23	25	32	18	28	29	32	32	36	30	23	20	27	35	30	23	25	32	32	601
am0039	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	10	15	15	20	9	12	14	14	13	13	15	10	34	22	23	25	17	17	24	26	16	12	12	17	18	19	19	21	15	12	31	23	23	20	27	27	14	28	24	17	23	21	41	25	30	40	518
am0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	8	8	6	9	10	11	11	11	12	6	12	12	16	9	19	17	17	16	16	13	7	7	13	20	10	10	16	16	15	13	10	20	19	22	24	23	16	25	13	13	10	19	28	22	21	350
am0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	9	18	14	12	11	8	14	14	22	14	12	12	17	18	24	6	15	15	5	19	10	10	10	21	11	11	11	13	19	17	16	17	20	28	22	23	11	20	14	24	16	28	30	41	24	36	424
am0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	13	11	10	7	11	10	19	19	11	17	17	11	19	23	15	16	17	17	12	13	15	14	14	21	12	15	15	24	18	18	23	26	24	28	20	29	25	28	13	25	22	21	29	21	32	40	505
am0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	4	3	3	4	2	16	10	10	4	2	7	5	16	11	4	6	9	9	5	5	18	11	11	10	8	7	7	13	3	6	19	15	10	11	10	14	12	4	8	14	9	13	17	14	16	16	232
am0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	6	1	4	5	6	6	5	5	4	2	10	5	6	7	9	9	8	1	5	7	7	10	4	12	12	9	6	4	5	9	7	10	12	10	9	4	4	11	12	7	11	16	11	15	190
am0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	7	10	3	4	6	6	6	8	4	6	10	8	3	13	5	10	10	13	4	7	8	8	9	15	8	8	19	6	12	18	14	6	6	14	5	21	7	20	16	12	9	11	13	19	10	223
am0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	15	11	8	16	16	31	23	23	17	34	27	23	29	27	12	23	18	18	28	20	36	23	23	28	29	27	27	29	38	31	30	34	38	30	24	39	41	43	37	31	34	32	37	38	41	39	730
am0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	6	10	11	9	3	12	16	16	18	12	13	5	24	18	15	12	9	9	13	13	15	5	5	27	14	12	12	23	13	7	32	24	23	28	17	27	17	18	17	20	14	19	38	25	31	36	451
am0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	4	11	10	11	7	8	11	11	12	14	8	9	26	12	16	23	15	15	25	17	10	17	17	19	14	17	17	14	16	11	28	19	18	16	21	20	18	21	16	20	23	16	31	28	22	26	430
am0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	7	6	7	2	2	4	8	8	3	7	8	6	1	3	8	6	10	10	7	4	7	1	1	11	9	2	2	7	9	7	8	7	5	8	13	6	13	8	10	7	2	12	3	16	8	9	159
am0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	12	9	13	12	8	11	17	17	18	18	19	11	14	14	16	24	21	21	36	15	19	15	15	23	17	22	22	22	22	13	22	17	21	26	27	21	34	30	24	25	26	29	27	37	24	34	536
am0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	8	2	6	6	3	2	2	5	9	5	7	5	4	4	6	6	2	5	5	3	7	3	3	5	4	9	6	5	6	10	7	7	7	5	7	8	4	3	11	7	7	10	143
am0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	5	5	5	3	1	2	5	2	4	2	3	3	3	4	3	5	2	2	4	5	2	2	4	3	5	4	2	3	5	3	4	5	3	7	6	3	3	3	7	5	3	87
am0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	2	2	1	1	0	4	2	0	2	1	1	1	1	2	2	1	1	1	3	1	1	0	3	4	2	2	1	2	1	0	1	1	3	1	1	1	2	3	2	0	26
am0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	2	2	8	5	5	4	2	5	1	5	7	5	7	1	1	4	4	8	8	8	7	2	8	8	11	3	3	4	12	8	7	3	9	5	3	2	11	10	3	7	6	12	7	160
am0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	7	6	5	6	6	6	6	2	8	7	8	9	6	9	9	7	7	9	6	7	7	7	7	15	17	17	2	12	10	12	3	16	9	9	7	7	7	16	5	19	7	12	9	4	9	205
am0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	4	5	5	4	2	3	7	7	7	5	6	4	6	5	6	4	6	6	5	7	4	5	5	9	5	1	1	8	5	5	5	10	4	14	8	6	9	13	7	9	5	12	11	11	13	14	195
am0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	7	7	5	9	5	10	6	6	8	9	11	9	11	13	7	10	9	9	7	12	11	11	11	10	11	13	13	8	12	11	13	19	18	10	11	15	15	15	15	14	15	16	15	15	20	19	299
am0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	9	7	9	7	1	5	5	5	13	7	13	7	19	15	11	8	12	12	10	10	5	20	20	18	9	14	14	16	8	7	23	17	15	11	14	19	13	14	12	24	23	19	26	26	23	28	330
am0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	9	11	9	12	4	5	8	8	6	4	10	11	4	10	14	4	13	13	8	14	10	17	17	16	21	18	18	16	7	12	17	14	16	11	20	11	11	12	23	21	23	14	7	16	17	14	276
am0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	9	5	11	7	8	8	5	5	5	15	14	9	13	3	13	13	7	8	8	4	4	17	13	4	4	9	11	18	16	4	8	11	15	10	14	9	18	7	4	8	19	19	9	14	191
am0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	9	9	6	11	5	8	8	10	9	10	12	7	9	14	13	14	14	14	8	11	7	7	15	11	3	3	9	16	14	11	13	6	9	19	11	21	15	12	8	6	15	10	21	14	16	252
am0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	12	18	23	19	24	18	31	31	18	21	21	27	31	25	28	29	36	36	25	26	23	27	27	23	23	27	27	26	31	33	18	26	26	54	47	31	43	39	28	38	34	32	50	28	34	57	796
am0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	3	5	4	2	6	7	7	2	1	6	4	5	6	7	3	6	6	3	6	8	8	8	11	2	7	7	11	3	6	9	11	12	9	7	7	4	6	4	9	10	7	8	13	12	12	179
am0075	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	5	5	4	5	3	3	3	6	7	5	6	18	5	6	13	13	13	12	5	3	5	5	12	4	8	8	11	8	8	9	9	5	7	15	11	20	7	6	9	8	9	20	18	12	12	197
am0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	9	12	10	18	8	7	3	3	8	11	12	19	15	17	16	8	17	17	8	20	11	9	9	20	23	14	14	18	15	20	12	21	19	13	23	21	13	22	24	20	16	19	21	18	26	29	349
am0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	9	10	9	8	11	11	6	8	8	14	23	12	13	13	10	12	15	5	5	19	15	8	10	10	18	8	12	12	22	28	17	9	23	11	10	8	14	15	27	11	30	13	25	18	23	31	24	335
am0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	1	2	7	4	9	10	10	4	6	7	6	4	4	2	6	4	4	9	7	11	5	5	7	7	5	5	8	8	6	9	5	7	12	5	6	8	13	8	7	7	10	6	7	9	10	194
am0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	9	5	6	4	5	7	7	8	5	8	4	4	13	10	14	5	5	19	11	5	4	4	13	12	5	5	16	7	6	9	18	12	10	7	16	8	11	16	12	7	12	9	8	18	14	229
am0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	2	2	1	1	1	0	1	0	0	0	0	1	1	2	2	1	1	4	4	2	2	1	1	3	0	0	0	0	0	3	1	2	4	1	1	1	3	0	28
am0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	13	12	12	11	12	20	11	11	12	22	21	18	35	11	17	20	15	15	15	16	25	23	23	23	21	20	20	21	26	22	27	22	9	32	19	18	20	28	27	29	25	27	44	29	28	47	556
am0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	4	7	6	4	12	13	13	7	10	11	9	16	20	9	19	19	19	10	10	18	14	14	15	11	17	17	17	11	10	15	19	20	26	20	29	18	16	14	10	21	19	27	22	24	29	436
