	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
am0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	4	4	3	6	7	7	7	9	9	5	5	5	6	7	5	6	6	5	6	6	2	10	9	6	8	7	8	20	10	13	8	18	11	12	13	14	13	10	10	14	13	12	19	11	12	18	27	27	17	26	16	27	16	17	21	24	194
am0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	7	7	7	2	0	2	1	3	3	3	3	4	7	4	6	10	10	4	4	4	5	5	2	11	3	5	6	9	11	4	7	7	5	10	8	8	8	10	10	4	6	17	15	13	10	7	15	15	15	15	29	12	30	22	13	36	126
am0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	12	12	3	0	0	2	2	5	5	2	2	13	6	3	4	3	3	2	6	6	6	5	0	6	4	4	6	9	8	5	17	12	9	6	17	17	17	11	11	9	11	21	15	17	23	15	18	18	13	16	11	15	17	24	20	19	118
am0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	2	2	4	1	0	4	2	1	1	10	10	4	0	1	2	0	0	4	2	2	6	2	3	0	10	7	2	1	0	2	5	5	1	7	6	6	6	4	4	2	3	11	4	5	9	8	16	16	9	4	4	5	6	14	6	8	79
am0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	4	4	6	2	1	4	1	3	3	3	3	4	7	9	13	6	6	5	15	15	1	12	2	10	9	5	20	2	7	3	9	11	11	16	16	16	16	7	7	5	16	11	5	7	14	10	8	8	22	5	11	13	9	20	15	11	150
am0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	14	19	19	15	13	19	13	14	13	13	18	18	20	11	21	17	22	22	25	21	21	22	23	19	23	22	29	24	34	17	35	34	29	32	42	40	40	40	33	33	17	29	26	38	26	31	42	37	37	57	53	32	44	35	42	58	48	504
am0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	2	13	13	3	3	3	4	1	8	8	4	4	8	6	10	8	11	11	6	3	3	6	6	4	12	6	6	4	12	13	7	10	6	15	20	17	17	17	9	9	13	15	19	21	23	24	13	18	18	30	21	25	15	29	27	22	37	154
am0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	7	12	12	10	16	9	7	9	14	14	12	12	11	14	10	11	17	17	9	15	15	14	21	18	18	16	10	15	17	23	8	16	18	23	24	12	12	12	13	13	24	35	26	22	30	35	15	36	36	29	29	49	30	41	44	43	64	290
am0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	6	6	4	5	3	4	4	8	8	11	11	8	7	8	5	7	7	5	2	2	2	6	7	10	13	5	4	6	8	8	11	17	12	12	1	1	1	14	14	16	8	15	10	14	17	2	12	12	12	12	15	25	10	20	20	21	161
am0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	13	13	3	2	0	4	1	3	3	7	7	12	3	5	5	9	9	5	2	2	6	1	2	11	9	6	3	9	5	7	13	8	6	9	12	12	12	15	15	6	3	12	9	7	20	9	13	13	17	10	21	12	21	22	18	29	101
