	0	1	2	3	4	5	6	7	8	9	10	11	12	13
am0163	0	0	0	0	0	0	1	1	1	2	2	4	2	6
am0164	0	0	0	0	0	0	0	3	3	0	2	5	0	5
am0165	0	0	0	0	0	0	0	2	2	1	0	2	1	3
am0166	0	0	0	0	0	0	2	0	0	1	2	1	3	6
am0167	0	0	0	0	0	0	0	0	0	0	0	1	0	0
am0168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0169	0	0	0	0	0	0	3	3	3	4	7	2	5	5
am0171	0	0	0	0	0	0	4	5	6	5	6	7	8	9
am0172	0	0	0	0	0	1	6	8	10	9	10	7	11	14
am0173	0	0	0	0	0	0	0	1	1	3	0	1	3	4
am0174	0	0	0	0	0	0	0	5	6	2	3	2	2	4
am0175	0	0	0	0	0	0	4	8	8	5	8	1	5	5
am0176	0	0	0	0	0	0	1	0	1	2	1	0	2	2
am0177	0	0	0	0	0	0	3	2	4	1	5	1	3	2
am0178	0	0	0	0	0	0	3	7	8	2	4	15	2	13
am0179	0	0	0	0	0	0	2	4	4	7	2	4	8	8
am0180	0	0	0	0	0	0	1	1	2	0	1	4	0	4
am0181	0	0	0	0	0	0	5	4	6	5	12	12	6	13
am0182	0	0	0	0	0	0	2	4	4	4	3	6	5	11
am0183	0	0	0	0	0	0	5	2	3	6	7	6	6	9
am0184	0	0	0	0	0	0	2	3	4	3	5	7	4	10
am0185	0	0	0	0	0	0	7	6	9	4	11	2	6	3
am0186	0	0	0	0	1	0	0	2	2	1	0	3	1	4
am0187	0	0	0	0	0	0	2	6	9	3	7	6	4	8
am0188	0	0	0	0	0	1	1	2	4	2	2	6	2	7
am0189	0	0	0	0	0	0	5	7	9	4	9	4	7	6
am0190	0	0	0	0	0	0	2	1	3	7	4	6	7	9
am0192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0194	0	0	0	0	0	0	1	0	1	0	1	2	0	2
am0195	0	0	0	0	0	0	2	1	1	7	3	4	8	11
am0196	0	0	0	0	0	0	4	4	6	8	6	3	9	8
am0197	0	0	0	0	0	0	5	4	4	4	7	3	5	5
am0198	0	0	0	0	0	0	9	7	10	5	13	8	9	12
am0199	0	0	0	0	0	0	6	10	12	6	11	5	12	11
am0200	0	0	0	0	0	0	5	11	12	4	7	2	6	4
am0201	0	0	0	0	0	0	2	0	2	1	2	5	2	7
am0202	0	0	0	0	0	0	2	0	0	4	2	2	4	4
am0203	0	0	0	0	0	0	5	8	9	5	7	11	7	13
am0204	0	0	0	0	0	0	8	5	9	11	10	7	14	15
am0205	0	0	0	0	0	0	7	11	15	16	11	21	18	33
am0206	0	0	0	0	0	0	0	3	3	0	0	1	0	1
am0207	0	0	0	0	0	0	4	5	6	6	5	8	7	12
