	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98
am0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	1	0	0	0	0	3	1	1	3	3	4	2	2	3	4	1	3	5	3	4	6	1	3	3	12	12	2	1	3	5	6	1	6	2	2	1	2	2	9	1	1	4	4	3	1	6	6	11	6	0	8	5	2	3	5	4	4	2	6	8	7	13	16	6	5	10	7	36
am0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	2	3	2	3	3	9	1	2	5	9	4	4	4	4	9	4	2	5	6	10	10	5	7	9	5	6	5	4	8	8	7	7	11	4	2	9	9	6	10	6	4	4	10	5	0	9	13	2	17	9	8	5	8	9	10	11	10	8	0	7	10	15	72
am0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	7	12	4	3	5	5	9	5	4	10	7	2	2	5	4	12	6	4	5	3	2	2	3	12	5	3	6	5	10	10	10	16	7	6	4	9	6	12	14	16	20	11	11	8	10	12	12	14	13	6	9	16	21	12	18	14	18	20	19	18	17	28	17	73
am0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	5	8	8	9	2	2	21	11	6	9	8	6	7	5	9	8	6	6	8	7	12	12	7	12	11	7	18	7	7	9	9	10	8	5	13	13	11	11	11	8	10	17	17	10	16	8	17	17	10	6	27	13	16	15	12	18	24	22	20	13	14	20	23	118
am0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1	1	0	3	1	1	1	1	3	3	0	1	1	1	1	2	1	4	1	5	1	3	1	1	6	1	3	1	3	1	4	3	3	4	0	0	3	2	8	3	4	5	4	5	6	9	6	2	3	2	4	2	8	4	4	3	11
am0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	4	2	0	0	6	6	3	4	5	6	6	2	4	5	2	5	6	7	5	5	6	3	4	1	7	2	2	4	4	5	3	1	1	7	6	8	6	4	5	4	4	1	11	16	3	5	4	5	10	10	14	5	12	3	4	7	7	14	6	16	6	39
am0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	1	2	1	0	4	2	2	2	1	2	4	2	0	0	2	2	2	2	0	0	0	1	7	2	0	0	3	0	5	2	4	5	5	3	4	3	0	0	0	4	6	5	2	8	5	0	3	3	2	4	5	5	4	6	5	8	9	5	28
am0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	3	1	1	1	1	1	1	2	1	1	5	6	0	0	1	1	1	4	2	1	1	3	5	2	2	1	1	4	1	2	2	5	5	1	3	2	2	2	1	0	1	2	4	4	2	2	5	6	2	1	5	1	2	0	4	2	3	23
am0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	4	7	2	6	6	7	4	3	3	0	9	9	6	11	2	7	1	10	11	10	10	9	11	4	5	13	12	9	15	15	11	13	9	14	1	10	24	12	7	10	16	16	12	15	16	23	9	17	20	9	17	30	28	20	32	6	39	22	40	22	27	25	94
am0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
