	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83
am0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	3	6	1	0	0	2	0	0	1	0	1	0	4	1	1	2
am0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	2	2	0	1	1	1	3	2	0	2
am0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	1	2	0	0	4	0	1	0	4	0	1	0	1	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	4	0	2	0	1	0	2	0	0	2
am0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	2	0	2	0	0	0	0	0	2	1	0	1	0	0	1	0	1	1	1	1	1	0	3	0	0	0	1	3	1	0	2	1	0	2	0	2	1	0	0	2	1	1
am0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	5	0	2	4	0	2	1
am0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2	0	0	1	0	1	3	0	1	1	2	2	1	2	1	0	0	1	0	2	0	0	2	2	0	2	3	1	2	1	0	1	0	2	5	1	5	1	2	1	3	1	1	2
am0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	2	1	0	2	2	0	0	1	1	2	2	1	2	2	2	0	2	2	0	0	2	0	2	2	6	1	2	2	4	5	0	4	5	0	4	1	5	1	1	5	5	3	3
am0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	1	1	0	1	1	2	3	0	0	0	1	2	0	0	0	0	2	0	1	2	0	0	1	0	2	1	3	3	0	2	7	1	1	2	2	2	7	4	3
am0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	3	2	2	4	1	0	0	2	1	1	1	1	3	1	2	4	4	2	0	4	3	3	0	3	2	2	1	3	5	3	5	1	7	4	2	3	5	4	3	3	3	5	5	6
am0021	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	1	1	1	0	0	2	1	1	0	2	1	3	2	2	2	2	0	1	2	0	5	1	0	0	2	1	2	3	4	0	0	0	1	2	0	1	0	0	2
am0022	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	1	3	4	1	2	2	4	1	4	1	0	3	5	1	3	1	0	2	4	2	1	2	1	3	4	2	0	5	3	1	7	3	3	4	0	3	0	2	3	0	3	4	0	2	6
am0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	1	1	1	1	0	1	1	1	0	1	1	1	2	0	0	3	0	5	2	0	0	3	0	1	0	0	2	0	2	0	4	1	0	1	6	0	1	1	1	2	5	1	0
am0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	4	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	1	3	0	0	0	2	0	0	2	4	0	1	0	1	0	0	2	0	1	0	2	0	0	0	0	0
am0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	2	0	0	2	0	1	0	0	2	0	3	0	0	1	0	2	0	0	0	0	1	2	1	2	0	0	1	1	0	0	2	0	0	0	1	0	2	0	2	2	0	1	0	1	1	1	1	3	3	1
am0027	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	1	2	2	7	1	2	2	1	4	5	0	2	6	6	4	2	1	4	3	2	1	3	7	5	2	2	4	4	8	3	2	4	2	3	4	2	4	6	2	5	7	8	8	7	3	7	8
am0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	3	0	0	2	0	2	2	0	0	0	0	2	0	1	0	1	2	0	0	4	0	0	1	2	0	0	2	4	0	0	2	0	1	0	4	1	5	2	2	2	2	2	3	2
am0029	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	1	2	1	2	0	5	0	0	0	1	0	1	0	0	0	2	2	0	2	0	0	0	3	0	0	0	1	5	3	0	2	3	4	3	4	1	3	0	0	6	4	0	3
am0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	1	2	0	4	1	1	0	2	1	0	1	1	1	0	1	3	0	1	0	1	0	0	1	2	0	0	0	1	0	0	1	1	3	1	5	2	1	0	2	0
am0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	1	0	1	1	0	3	0	1	2	1	1	0	0	0	2	1	1	1	1	1	0	1	1	0	2	0	0	2	3	2	5	0	1	1	1	0	1	0	0	1	0	0
am0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	1	2	4	0	0	2	3	4	1	2	3	1	5	1	1	2	1	3	2	3	5	2	1	2	3	3	1	4	0	3	1	8	2	7	3	8	3	1	2	2	4	0	5	4	5
am0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	2	1	5	0	4	0	1	0	3	4	3	5	2	1	2	3	6
am0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	2	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	1	0	2	2	0	2	1	0	2	1
am0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
am0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	0	2	0	0	2	0	0	1	2	0	2	0	1	1	0	0	4	0	3	0	0	0	0	0
am0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	3	0	1	2
am0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
am0058	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	2	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	2	1	1	2	0	1	0	3	0	0	2	0	0	2	1	1	2	0	1	0	0	0	2	1	0	0	1	0
am0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	1	1	3	0	0	2	1	1	4	0	0	2	2	0	2	0	1	0	0	0	0	0	3	0	0	4	0	0	0	0	5	0	0	2	1	2	1	1	0	1	3
am0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	1	1	0	1	0	0	0	0	1	0	2	0	1	1	0	1	0	4	0	1	0	4	0	1	0	2	3	3	2	2	3	1	2	0
am0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	1	2	0	1	1	1	1	1
am0063	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	2	0	3	1	0	2	0	1	0	1	3	1	0	1	1	1	0	1	1	0	1	2	1	0	3	1	2	2	0	1	1	1	0	2	0	2	1	0	2	1	0	2	1	0	1	1	1
am0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	2	0	2	4	0	0	0	0	2	0	2	2	0
am0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	1	1	1	0	0	0	1	1	3	1	0	0	0	2	2	0	0	4	2	0	1	2	0	1	0	2	0	2	1	2	2	0	1	1	1	0	2	1	2
am0066	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	2	1	0	2	0	0	1	0	0	2	0	0	2	1	0	0	1	2	0	0	2	1	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	2
am0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	1	1	1	3	1	2	1	1	1	2	0	1	2	0	0	2	1	0	2	1	3	1	1	2	2	1	1	1	1	0	2	2	1	3	2	2	5	5	3	6	6
am0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1	0	0	0	1	2	3	0	1	1	0	0	1	0	1	0	1	1	0	1	2	2	0	2	2	4	4	0	4	0	1	0	3	5	7	1	0	0	0	1	0	0	0	1
am0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	3	3	3	6	3	4	2	4	1	7	2	4	3	3	4	0	2	4	4	6	6	0	6	4	4	2	0	5	4	1	8	2	6	7	11	15	8	10	7	7	7	7	2	4	18	7	5
am0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	3	3	0	0	0	0	4	0	2	0	1	0	0	4	0	0	0	1	5	2	0	0	3	2	0	0	1	1	0	2	0	2	1	2	3	7	1	3	3	2	3	6	3	7
am0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	0	0	0	3	0	2	2	0	0	0	3	1	2	0	0	1	0	0	0	0	0	3	0	0	2	1	0	1	0	4	2	3	1	0	3	0	0	0	2	0	0	0	0	0
am0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
am0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	2	4	1	1	1	2	3	4	2	2	2	1	4	4	1	2	3	8	3	3	2	3	5	6	4	2	4	2	2	2	1	4	4	4	5	1	2	4	1	2	1	5	2	4	4	4
am0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	0	1	0	0	1	1	0	2	1	1	1	0	0	1	0	4	1	3	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	3	0	1	2	2	3	4	1	2	1	1	4
am0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1	3	2	0	0	1	1	0	1	0	2	0	1	0	0	2	0	0	2	0	2	1	1	1	0	2
am0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	3	6	6	0	0	0	1	1	0	0	0	3	0	0	3	1	1	2	0	0	5	1	0	3	0	0	2	1	2	2	1	0	3	2	3	0	3	4	0	4	2	0	1	1	0	3	0	1
am0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	2	3	0	0	0	0	0	3	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	1
am0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	0	2	0	1	3	1	7	4	0	1	0	2	3	2	0	0	4	1	0	0	1	0	1	0	0	0	5	0	1	0	4	4	3	0	2	4	0	2	1	3	5	3	1	3	6
am0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0
am0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
am0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	2	0	4	0	1	0	0	1	2	4	0	0	0	0	3	0	0	0	2	0	1	3	2	0	0	3	0	1	3	3	1	1	2	4	4	1	2	3	4	1	6	4	1	2	2	1
am0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2	1	0	2	0	0	2	1	0	1	0	1	1	0	0	1	1	2	2	0	2	0	0	0	0	0	3	0	2	1	1	1	1
am0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0
am0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	2	3	4	1	1	1	1	0	5	1	1	3	2	1	6	2	3	3	3	6	1	1	4	6	0	2	4	0	3	4	1	4	2	6	6	0	5	6	9	6	6	7	9	8	3
am0086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	2	0	4	1	2	1	0	1	0	1	0	1	1	1	2	0	2	0	2	2	6	1	0	1	4	0	1	1	4	0	0	0	1	0	1	1	0	1	1
am0087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	2	1	0	2	0	0	0	1	0	0	1	4	2	0	1	1	2	1	0	2	3	1	1	0	1	1	0	1
am0088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	2	0	1	0	1	0	0	1	0	0	3	2	1
am0089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	1	1	2	3	1	0	2	1	0	1	1	1	2	0	1	2	4	1	1	2	0	1	3	3	1	1	2	4	1	4	1	3	2	0	1	5	0	4	5	2	4	5
am0090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2	0	1	0	1	1	2	0	1	2	0	1	1	0	0	3	0	2	0	0	4	1	0	2	0	0	1	0	0
am0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0	0	0	1	3	0	0	0	0	3	0	0	2	2	1	1	0	0	1	0
am0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	1	1	0	1	0	0	0	0	2	2	0	2	0	1	0	1	2	2	0	2	5
am0094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	2	1	0	2	2	1	0	1	0	0	2	1	2	3	2	1	2	2	1	0	3	0	1	1	1	1	2	2	4	0	1	3	0	0	1	0	0	2	0	0
am0095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	3	2	4	2	2	5	0	1	1	3	3	3	1	2	6	2	1	2	5	1	3	2	3	5	3	4	3	4	10	3	3	3	2	3	2	2	7	8	1	7	9	0	5	10	3
am0096	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	1	0	4	1	2	2	1	1	3	4	2	1	5	4	1	1	1	1	1	1	2	5	5	0	0	1	4	1	3	1	1	3	4	1	4	1	7	5	2	4	3	6	3	11	11	3
am0097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	2	1	2	4	5	2	2	3	1	5	0	1	1	6	0	4	5	2	3	1	2	1	3	0	6	1	1	12	2	1	2	4	1	1	1	8	2	1	1	2	3	1	1	3	1
